0.002558,0.0628
0.004405,0.1257
0.0029751,0.1885
0.0028067,0.2513
0.0074828,0.3142
0.0042463,0.377
0.0025082,0.4398
0.010442,0.5027
0.015573,0.5655
0.0051163,0.6283
0.0025441,0.6912
0.030124,0.754
0.038054,0.8168
0.0042368,0.8796
0.0039223,0.9425
0.003872,1.0053
0.0050824,1.0681
0.010347,1.131
0.004577,1.1938
0.0048135,1.2566
0.0021826,1.3195
0.0050167,1.3823
0.0048834,1.4451
0.0027409,1.508
0.066745,1.5708
0.0059601,1.6336
0.0049729,1.6965
0.0070266,1.7593
0.0047762,1.8221
0.0028466,1.885
0.0032361,1.9478
0.0072097,2.0106
0.0026923,2.0735
0.0037185,2.1363
0.0032038,2.1991
0.0030721,2.2619
0.0032582,2.3248
0.014856,2.3876
0.0036948,2.4504
0.0030741,2.5133
0.006435,2.5761
0.0034762,2.6389
0.0051016,2.7018
0.0030167,2.7646
0.0075449,2.8274
0.0028786,2.8903
0.0059087,2.9531
0.0031527,3.0159
0.0022071,3.0788
0.066796,3.1416
