0.013077,0.0628
0.010912,0.1257
0.0094528,0.1885
0.014505,0.2513
0.0091371,0.3142
0.0086217,0.377
0.010478,0.4398
0.0080946,0.5027
0.0087808,0.5655
0.01198,0.6283
0.0061155,0.6912
0.010618,0.754
0.011322,0.8168
0.010867,0.8796
0.0060076,0.9425
0.0094142,1.0053
0.013161,1.0681
0.016261,1.131
0.014108,1.1938
0.014224,1.2566
0.010272,1.3195
0.011706,1.3823
0.008692,1.4451
0.011788,1.508
0.028848,1.5708
0.0096621,1.6336
0.012797,1.6965
0.0077823,1.7593
0.012929,1.8221
0.012524,1.885
0.013665,1.9478
0.010055,2.0106
0.0098843,2.0735
0.0091842,2.1363
0.0084743,2.1991
0.013755,2.2619
0.011708,2.3248
0.0084561,2.3876
0.015094,2.4504
0.0089577,2.5133
0.0090441,2.5761
0.009361,2.6389
0.012196,2.7018
0.011195,2.7646
0.0071773,2.8274
0.012382,2.8903
0.007069,2.9531
0.0059764,3.0159
0.0059521,3.0788
0.020635,3.1416
